brand,brand_name,broad_category,color,fit_type,length,pattern_type,hem_shaped,sleeve_length,sleeve_type,material,details,discounted_price,neckline,shallow_category,sheer,source_name,title,type,waist_line,averageRating
H&M,H&M,suits,green,,,,,long,,cotton,cuffed sleeves | ribbed | pocket | button,1499,,suit,,india_commerce,H&M Girls Green Knitted Cotton All-In-One Suit,FALSE,natural,-1
H&M,H&M,suits,brown,,,,,,,polyester,,2294,,suit,,india_commerce,H&M Girls Brown Padded All-In-One Suit,FALSE,natural,-1
H&M,H&M,suits,green,,,plain,,sleeveless,,cotton,button | studded,1049,round,suit,,india_commerce,H&M Boys Green Crinkled Cotton Romper Suit,jumpsuit,natural,-1
FASHOR,FASHOR,dresses,yellow,,midi,floral | printed,flared,long,regular,cotton,knitted & woven | embellished,1319,v,dresses,no,india_commerce,FASHOR Women Yellow Floral A-Line Midi Dress,a line,natural,-1
Sangria,Sangria,dresses,black,,knee,plain | ethnic,flared,sleeveless,,viscose,embroidery | woven | sequins,874,spaghetti strap,dresses,no,india_commerce,Sangria Black Ethnic Motifs Embroidered Sequined A-Line Dress,a line,natural,-1
Masakali.Co,Masakali.Co,dresses,beige,fit & flare,short,ethnic | printed,flared,three quarter length,puff,polyester | crepe,knit,899,v,dresses,no,india_commerce,Masakali Co Women Printed V-Neck Fit and Flare Dress,FALSE,natural,-1
SAARYA,SAARYA,dresses,blue,,maxi,floral | ethnic,flared,three quarter length,regular,nylon,concealed zipper | embroidery | sequins | woven,4589,round,gowns,no,india_commerce,SAARYA Women Floral Embroidered Sequin Maxi Ethnic Gown With Dupatta,gown,,-1
Masakali.Co,Masakali.Co,dresses,brown,,short,floral | printed,flared,long,,polyester | crepe,cuffed sleeves | knit | button | belted,899,mandarin collar,dresses,no,india_commerce,Masakali Co Women Floral Printed Crepe Empire Dress,empire,natural,-1
Kazo,Kazo,dresses,blue,fit & flare,short,floral | printed,flared,three quarter length,puff,georgette,woven | lined,3690,v,dresses,no,india_commerce,Kazo Blue Floral Georgette Dress,FALSE,natural,-1
Hive91,Hive91,dresses,beige,,short,floral | printed,flared,long,,polyester | crepe,cuffed sleeves | smocked | woven,989,collar,dresses,no,india_commerce,Hive91 Beige & Green Floral Crepe Formal Shirt Dress,shirt,natural,-1
