title,color,details,fit_type,hem_shaped,length,material,neckline,occasion,pattern_type,season,sheer,sleeve_length,sleeve_type,style,type,waist_line
H&M Girls Green Knitted Cotton All-In-One Suit,green,knit,-,-,-,cotton,-,-,-,all,-,-,-,-,-,-
H&M Girls Brown Padded All-In-One Suit,brown,padded,-,-,-,-,-,-,-,all,-,-,-,-,-,-
H&M Boys Green Crinkled Cotton Romper Suit,green,-,-,-,-,cotton,-,-,-,-,-,-,-,-,romper,-
FASHOR Women Yellow Floral A-Line Midi Dress,yellow,-,-,-,midi,-,-,-,floral,-,-,-,-,-,a line,-
Sangria Black Ethnic Motifs Embroidered Sequined A-Line Dress,black,sequins,-,-,-,-,-,-,ethnic,-,-,-,-,-,a line,-
Masakali Co Women Printed V-Neck Fit and Flare Dress,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SAARYA Women Floral Embroidered Sequin Maxi Ethnic Gown With Dupatta,-,sequins,-,-,maxi,-,-,-,ethnic,-,-,-,-,-,gown,-
Masakali Co Women Floral Printed Crepe Empire Dress,-,-,-,-,-,crepe,-,-,floral,-,-,-,-,-,empire,-
Kazo Blue Floral Georgette Dress,blue,-,-,-,-,georgette,-,-,floral,-,-,-,-,-,-,-
Hive91 Beige & Green Floral Crepe Formal Shirt Dress,green,-,-,-,-,crepe,-,work,floral,-,-,-,-,-,shirt,-
Femella Off White Wrap Textured Chiffon Midi Dress,off white,wrap,-,-,midi,chiffon,-,-,-,-,-,-,-,-,-,-
BoStreet White Bodycon Midi Dress,white,-,-,-,midi,-,-,-,-,-,-,-,-,street,bodycon,-
FASHOR Pink & Yellow Tie and Dye A-Line Midi Dress,yellow,-,-,-,midi,-,-,-,tie dye,-,-,-,-,-,a line,-
Biba Women Teal & Pink Floral Printed Maxi Dress,pink,-,-,-,maxi,-,-,-,floral,-,-,-,-,-,-,-
BoStreet Blue Solid Bodycon Dress,blue,-,-,-,-,-,-,-,plain,-,-,-,-,street,bodycon,-
APNISHA Yellow Embroidered Georgette Ethnic Maxi Dress,yellow,embroidery,-,-,maxi,georgette,-,-,ethnic,-,-,-,-,-,-,-
VALBONE Grey Floral Printed Dress,grey,-,-,-,-,-,-,-,floral,-,-,-,-,-,-,-
URBANIC Women Blue & White A-Line Midi Dress,white,-,-,-,midi,-,-,-,-,-,-,-,-,-,a line,-
SCOUP Navy Blue Solid A-Line Maxi Dress,navy blue,-,-,-,maxi,-,-,-,plain,-,-,-,-,-,a line,-
Shae by SASSAFRAS Women Black Polyester Brocade Ethnic Dress,black,-,-,-,-,polyester,-,-,ethnic,-,-,-,-,-,-,-
ESSQUE Pink Georgette Midi Dress,pink,-,-,-,midi,georgette,-,-,-,-,-,-,-,-,-,-
OCTICS White & Yellow Floral A-Line Cotton Dress,yellow,-,-,-,-,cotton,-,-,floral,-,-,-,-,-,a line,-
CODE by Lifestyle Purple Embellished Sleeveless A-Line Midi Dress,purple,embellished,-,-,midi,-,-,-,-,-,-,sleeveless,-,-,a line,-
Emprall Women Maroon Polka Dot Printed Crepe Dress,maroon,-,-,-,-,crepe,-,-,polka dot,-,-,-,-,-,-,-
Bewakoof Lavender Solid Bodycon Dress,lavender,-,-,-,-,-,-,-,plain,-,-,-,-,-,bodycon,-
Masakali Co Lime Women Floral Printed Crepe T-shirt Dress,lime green,-,-,-,-,crepe,-,-,floral,-,-,-,-,-,tee,-
BoStreet Navy Blue & Orange Floral Midi Dress,orange,-,-,-,midi,-,-,-,floral,-,-,-,-,street,-,-
VALBONE Grey & White Dress,white,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indo Era Maroon & Silver Floral Printed Liva Ethnic Maxi Dress,silver,-,-,-,maxi,liva,-,-,ethnic,-,-,-,-,-,-,-
BoStreet Green Solid A-Line Midi Dress,green,-,-,-,midi,-,-,-,plain,-,-,-,-,street,a line,-
Libas Peach-Coloured Embellished Embroidered Keyhole Neck Georgette Ethnic Maxi Dress,peach,embroidery,-,-,maxi,georgette,keyhole,-,ethnic,-,-,-,-,-,-,-
ISAM Multicoloured Floral Maxi Dress,multicolor,-,-,-,maxi,-,-,-,floral,-,-,-,-,-,-,-
SAARYA Pink Georgette Embroidered Ethnic Gown With Dupatta,pink,embroidery,-,-,-,georgette,-,-,ethnic,-,-,-,-,-,gown,-
CYU Women Sold Cotton A-Line Midi Dress,-,-,-,-,midi,cotton,-,-,-,-,-,-,-,-,a line,-
BoStreet Khaki Bodycon Dress,khaki,-,-,-,-,-,-,-,-,-,-,-,-,street,bodycon,-
Mine4Nine Peach-Coloured Floral Maternity A-Line Dress,peach,-,-,-,-,-,-,maternity,floral,-,-,-,-,-,a line,-
ESSQUE Pink Georgette Dress,pink,-,-,-,-,georgette,-,-,-,-,-,-,-,-,-,-
H&M White MAMA Crpe Cut out Dress,white,cut out,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ginger by Lifestyle Purple Floral Midi Dress,purple,-,-,-,midi,-,-,-,floral,-,-,-,-,-,-,-
Libas Green Embellished Embroidered Keyhole Neck Georgette Maxi Dress,green,embroidery,-,-,maxi,georgette,keyhole,-,-,-,-,-,-,-,-,-
BoStreet Black Solid Bodycon Dress,black,-,-,-,-,-,-,-,plain,-,-,-,-,street,bodycon,-
APNISHA Purple Embellished Georgette Ethnic Maxi Maxi Dress,purple,embellished,-,-,maxi,georgette,-,-,ethnic,-,-,-,-,-,-,-
Styli Women White A-Line Dress,white,-,-,-,-,-,-,-,-,-,-,-,-,-,a line,-
BoStreet Women Orange & Blue Floral Maxi Dress,blue,-,-,-,maxi,-,-,-,floral,-,-,-,-,street,-,-
BoStreet Women Black & White Checked A-Line Dress,white,-,-,-,-,-,-,-,checked,-,-,-,-,street,a line,-
max Beige Printed Capri Jumpsuit,beige,-,-,-,-,-,-,-,printed,-,-,-,-,-,romper,-
W Blue Women Printed Basic Jumpsuit with Embroidered,blue,embroidery,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
DEEBACO Women Turquoise Blue & Pink Printed Basic Jumpsuit,pink,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
H&M Girls Pleated Jumpsuit,-,pleated,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
DEEBACO Navy Blue & White Printed Culotte Jumpsuit,white,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
H&M Kids Beige Solid Hooded Romper,beige,-,-,-,-,-,hooded,-,plain,-,-,-,-,-,romper,-
Trendyol Women Blue Basic Pure Cotton Jumpsuit with Belt,blue,belted,-,-,-,cotton,-,-,-,-,-,-,-,basics,jumpsuit,-
MANGO Black Off-Shoulder Sustainable Basic Jumpsuit,black,-,-,-,-,-,off the shoulder,-,-,-,-,-,-,-,jumpsuit,-
Baby Go Regular Fit Cortton Romper,-,-,regular,-,-,-,-,-,-,-,-,-,-,-,romper,-
MABISH by Sonal Jain Rust Printed Basic Jumpsuit,rust brown,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
HERE&NOW Girls Yellow & Black Striped Jumpsuit With Gathered Detail,black,gathered,-,-,-,-,-,-,stripes,-,-,-,-,-,jumpsuit,-
Zima Leto Pink & Green Printed Basic Jumpsuit,green,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
MANGO Pink One-Shoulder Solid Sustainable Basic Jumpsuit,pink,-,-,-,-,-,one shoulder,-,plain,-,-,-,-,-,jumpsuit,-
Sangria Women Pure Cotton Ethnic Motifs Printed Culottes Jumpsuit,-,-,-,-,-,cotton,-,-,ethnic,-,-,-,-,-,jumpsuit,-
Marigold by FableStreet Maroon & White Printed Basic Jumpsuit,white,-,-,-,-,-,-,-,printed,-,-,-,-,street,jumpsuit,-
JUSTICE Girls Blue Printed Jumpsuit,blue,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
ESSQUE Pink Self Design Basic Jumpsuit,pink,-,-,-,-,-,-,-,self design,-,-,-,-,-,jumpsuit,-
Natilene Girls Navy Blue Capri Jumpsuit with Embellished,navy blue,embellished,-,-,-,-,-,-,-,-,-,-,-,-,romper,-
Forever New Pink Basic Jumpsuit,pink,-,-,-,-,-,-,-,-,-,-,-,-,-,jumpsuit,-
MABISH by Sonal Jain Blue Printed Basic Dhoti Jumpsuit,blue,-,-,-,-,-,-,-,printed,-,-,-,-,basics,jumpsuit,-
Femella Women Blue & Off White Printed Basic Jumpsuit,blue,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
MABISH by Sonal Jain Rose Printed Basic Jumpsuit,rose red,-,-,-,-,-,-,-,printed,-,-,-,-,-,jumpsuit,-
